Ariyalur,Paige.Warner@austintexas.gov,Martin,855-514-2668,5,30,859
Chengalpet,Stefan.Wray@austintexas.gov,Rudow,91-755-543-2931,6,27,849
Chennai,Joan.Hamilton-Huber@austintexas.gov,Hamilton-Huber,91-855-508-6099,5,28,990
Coimbatore,Nathan.Brigmon@austintexas.gov,Brigmon,91-755-543-2931,5,31,234
Cuddalore,Shawn.Lincoln@austintexas.gov,Lincoln,91-855-508-6099,4,25,889
Dharmapuri,Chris.Hernandez@austintexas.gov,Hernandez,91-755-543-2931,3,30,563
Dindigul,Sarah.Lambert@austinenergy.com,Lambert,91-755-543-2931,10,35,500
Erode,Christine.Thies@ausps.org,Thies,855-514-2668,6,26,644
Kallakurichi,gus.delgado@austintexas.gov,Delgado,63695470,7,33,800
Kanchipuram,Ron.MacKay@ausps.org,MacKay,645793578,5,25,890
Karur,gus.delgado@austintexas.gov,Salinas,91-855-508-6099,9,36,880
Krishnagiri,Paige.Warner@austintexas.gov,Warner,91-855-508-6099,8,23,230
Madurai,Stefan.Wray@austintexas.gov,Wray,636907089,8,22,100
Nagapattinam,Joe.Faulk@austintexas.gov,Faulk,91-855-508-6099,2,30,700
Nagercoil,Bryce.Benton@austintexas.gov,Benton,783674658,4,29,789
Namakkal,Sarah.Cronin@austintexas.gov,Cronin,433435553,13,29,604
Perambalur,gabriel.gonzalez@austintexas.gov,Gonzalez,855-514-2668,12,28,545
Perambalur,Patricia.Genty-Andrade@austintexas.gov,Genty-Andrade,226692617,3,26,904
Pudukkottai,Patti.Edwards@abia.org,Edwards,222201686,7,31,777
Ramanathapuram,Robert.Bizendine@austintexas.gov,Bizendine,222800045,8,34,900
Ranipet,Korrie.Johnson@austintexas.gov,Johnson,222806917,10,29,654
Salem,Sarah.Lambert@austinenergy.com,Lambert,2220184,11,26,580
Sivagangai,Grace.Kretschmer@austintexas.gov,Kretchmer,112744272,5,30,120
Tenkasi,Kathryn.Darnall@austintexas.gov,Darnall,442531158,7,28,900
Thanjavur,ashlee.harris@austintexas.gov,Harris,91-855-508-6099,8,28,657
Theni,Ashley.Parsons@austintexas.gov,Parsons,26414617,8,29,765
Thiruvallur,Christine.Thies@ausps.org,Bailey,91-755-543-2931,8,24,788
Thiruvarur,Sara.Behunek@austintexas.gov,Behunek,25881647,9,30,644
Thoothukudi,Zachary.Ashburn@austintexas.gov,Ashburn,22210073,9,31,435
Tiruchirappalli,Julia.Robbins@austintexas.gov,Robbins,222827984,6,29,450
Tirunelveli,Chris.Hernandez@austintexas.gov,Walker,2287731,10,29,550
Tirupattur,Melissa.Alvarado@austintexas.gov,Alvarado,222363491,11,30,670
Tiruppur,David.Andersen@ausps.org,Andersen,222371248,13,31,690
Tiruvannamalai,Lynn.Cohee@ausps.org,Cohee,222760634,5,29,668
Udagamandalam,Patrick.Murphy@ausps.org,Murphy,26465555,4,28,900
Vellore,Shawn.Lincoln@austintexas.gov,Honker,91-755-543-2931,11,31,900
Viluppuram,Tyler.Higdon@austintexas.gov,Higdon,628264663,9,34,900
Virudhunagar,Perry.Perez@austintexas.gov,Perez,91-855-508-6099,7,36,600
bio, wwwww,ddr,44444444,9,45,456
